key	definitions	type	instances	example
x-endpoint-name	1	string	1	https://api.swaggerhub.com/apis/ryvn/Lifttest/1.0.0
x-entity	1	string	1	https://api.swaggerhub.com/apis/teamore/ePubli-API/1.0.0
x-eventNotifications	1	object	50	https://api.swaggerhub.com/apis/basohi/wallet-api_medusa/1.0.2.2
x-events	1	object	1	https://api.swaggerhub.com/apis/danshannon/orders-event-model/0.1
x-extensible-enum	1	object	3	https://api.swaggerhub.com/apis/adizdari/api-to_manage_purchase_orders/1.0.1
x-field	1	number	17	https://api.swaggerhub.com/apis/timburks/Bookstore/1.0
x-fomat	1	string	9	https://api.swaggerhub.com/apis/narendhar.salikelapeta/createProduct/1.0.0
x-functions	1	object	1	https://api.swaggerhub.com/apis/rimoe/TM1Rest/10.2.2.6
x-go-gen-location	1	string	5	https://api.swaggerhub.com/apis/tdmanv/crawler/1.0.0
x-google-issuer	1	string	3	https://api.swaggerhub.com/apis/bleppard/SensiveApi/1.0.0
x-google-jwks_uri	1	string	3	https://api.swaggerhub.com/apis/bleppard/SensiveApi/1.0.0
x-gyg-scope	1	object	3	https://api.swaggerhub.com/apis/sovandarachea/GYG/1.0.0
x-hidden	1	boolean	16	https://api.swaggerhub.com/apis/lewie/FirstTest/1.0.7
x-ibm-authentication-registry	1	string	1	https://api.swaggerhub.com/apis/KarzaTech/pan-verification_api/1.0.0-rev1
x-ibm-client-id	1	object	1	https://api.swaggerhub.com/apis/jadeyliu939/MyPetStore/1.0
x-ibm-css	1	string	1	https://api.swaggerhub.com/apis/arthurdm/inventory/1.0.0
x-identifier-for-schema-ref	1	string	23	https://api.swaggerhub.com/apis/estela/TestAPI/0.0.2
x-implementation-configuration	1	string	1	https://api.swaggerhub.com/apis/shibin17vk/tata-health_web_conf_server_api/1.0.0
x-implementation-middleware	1	object	1	https://api.swaggerhub.com/apis/shibin17vk/tata-health_web_conf_server_api/1.0.0
x-implementation-module	1	string	1	https://api.swaggerhub.com/apis/shibin17vk/tata-health_web_conf_server_api/1.0.0
x-implemented-in	1	string	9	https://api.swaggerhub.com/apis/shibin17vk/tata-health_web_conf_server_api/1.0.0
x-include:description	1	string	9	https://api.swaggerhub.com/apis/rupertlssmith/test/0.0.1
x-includequery-properties	1	object	7	https://api.swaggerhub.com/apis/tdaffin/unity-cloud_build/1.0.0
x-indexresult	1	object	2	https://api.swaggerhub.com/apis/claylo/Smartsheet/2.0.0
x-inflector-hidden	1	boolean	33	https://api.swaggerhub.com/apis/hugom02/swagger-hub_registry_api/1.0.41
x-internal	1	boolean	6	https://api.swaggerhub.com/apis/BretJohnson/the-bridge/0.1.0
x-internal-test	1	string	1	https://api.swaggerhub.com/apis/wdtracy/Test/0.0.1
x-isFlags	1	boolean	2	https://api.swaggerhub.com/apis/rimoe/TM1Rest/10.2.2.6
x-issuer	1	string	2	https://api.swaggerhub.com/apis/swgre4/endpoints-example/1.0.0
x-joidy-api-scope	1	string	10	https://api.swaggerhub.com/apis/janjilek/joidy-api/v1.1
x-joidy-base-paths	1	object	1	https://api.swaggerhub.com/apis/janjilek/joidy-api/v1.1
x-joidy-cors	1	object	1	https://api.swaggerhub.com/apis/janjilek/joidy-api/v1.1
x-jwks_uri	1	string	2	https://api.swaggerhub.com/apis/swgre4/endpoints-example/1.0.0
x-keyPrefix	1	string	1	https://api.swaggerhub.com/apis/jackpot-io/Jackpot-io_Platforms/0.0.1
x-lbg-application-id	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-lbg-consent-level	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-lbg-outlet-id	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-lbg-outlet-id-type	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-lbg-user-id	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-lbg-user-id-type	1	object	6	https://api.swaggerhub.com/apis/muralidhar72/swagger-cheque_simple/1.0.0
x-limit	1	object	2	https://api.swaggerhub.com/apis/kalinon/kdm/0.0.1
x-mapped-generated	1	boolean	4	https://api.swaggerhub.com/apis/Synergy-GB/BancaPlus/3.0.0
x-maxNumberOfDecimal	1	number	3	https://api.swaggerhub.com/apis/steve70E/big-commerce_catalog_api/3.0.0b
x-mediaEntity	1	boolean	1	https://api.swaggerhub.com/apis/rimoe/TM1Rest/10.2.2.6
x-metrowalk-api-token	1	object	1	https://api.swaggerhub.com/apis/eit/metro-walk/1.0.0
x-mojo-name	1	string	2	https://api.swaggerhub.com/apis/milagan/sample-mojolicious_mvc_application/1.0.0
x-mongoose-indexes	1	object	1	https://api.swaggerhub.com/apis/seangallavan/contacts/1.0.0
x-mongoose-ref	1	string	2	https://api.swaggerhub.com/apis/seangallavan/contacts/1.0.0
x-ms-discriminator-value	1	string	28	https://api.swaggerhub.com/apis/badreddine-dlaila/engagement-management_client/2014-12-01
x-ms-examples	1	object	3	https://api.swaggerhub.com/apis/jlian/Bill/1.0.0
x-ms-odata	1	string	3	https://api.swaggerhub.com/apis/scottzilla/compute-management_client/2016-03-30
x-ms-parameter-location	1	string	3	https://api.swaggerhub.com/apis/badreddine-dlaila/engagement-management_client/2014-12-01
x-ms-paths	1	object	1	https://api.swaggerhub.com/apis/SteffenKohlhagen/emotion-api/1.0
x-ms-visibility	1	string	1	https://api.swaggerhub.com/apis/kj07208/CurrencyConverter/1.0.0
x-my-extension	1	object	1	https://api.swaggerhub.com/apis/Byzance/Tyrion/1.06.1
